Log File Information
Timestamp,20250411_132359
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),Status
215377,49.4,4.0,0.0,52.486065,-1.889214,8,110.0,2.0,OK
216397,49.4,4.0,0.0,52.486065,-1.889193,8,110.3,2.0,OK
217426,49.4,4.0,0.0,52.486065,-1.889172,8,110.0,2.0,OK
218446,49.4,4.0,0.0,52.486065,-1.889151,8,110.3,2.0,OK
219466,49.4,4.0,0.0,52.486065,-1.889130,8,110.3,2.0,OK
220487,49.4,4.0,0.0,52.486065,-1.889109,8,110.3,2.0,OK
221506,49.4,4.0,0.0,52.486065,-1.889088,8,110.3,2.0,OK
222531,49.4,4.0,0.0,52.486065,-1.889067,8,45.9,2.0,OK
223558,49.4,4.0,0.0,52.486076,-1.889080,8,45.9,2.0,OK
224587,49.4,4.0,0.0,52.486088,-1.889093,8,45.9,2.0,OK
225612,49.4,4.0,0.0,52.486099,-1.889107,8,45.9,2.0,OK
226638,49.4,4.0,0.0,52.486111,-1.889120,8,45.7,2.0,OK
227663,49.4,4.0,0.0,52.486122,-1.889133,8,45.9,2.0,OK
228687,49.4,4.0,0.0,52.486134,-1.889146,8,45.6,2.0,OK
229714,49.4,4.0,0.0,52.486145,-1.889160,8,45.4,2.0,OK
230740,49.4,4.0,0.0,52.486156,-1.889173,8,45.6,2.0,OK
231766,49.4,4.0,0.0,52.486168,-1.889187,8,45.3,2.0,OK
232791,49.4,4.0,0.0,52.486179,-1.889200,8,45.0,2.0,OK
233819,49.4,4.0,0.0,52.486191,-1.889214,8,45.2,2.0,OK
234842,49.4,4.0,0.0,52.486202,-1.889227,8,45.0,2.0,OK
235868,49.4,4.0,0.0,52.486214,-1.889241,8,45.0,2.0,OK
236894,49.4,4.0,0.0,52.486221,-1.889255,8,45.1,2.0,OK
237918,49.4,4.0,0.0,52.486233,-1.889269,8,45.0,2.0,OK
238943,49.4,4.0,0.0,52.486244,-1.889283,8,45.0,2.0,OK
239967,49.4,4.0,0.0,52.486252,-1.889297,8,45.0,2.0,OK
240992,49.4,4.0,0.0,52.486263,-1.889311,8,45.0,2.0,OK
242018,49.4,4.0,0.0,52.486271,-1.889325,8,135.0,2.0,OK
243046,49.4,4.0,0.0,52.486259,-1.889334,8,135.0,2.0,OK
244071,49.4,4.0,0.0,52.486248,-1.889344,8,135.0,2.0,OK
245097,49.4,4.0,0.0,52.486237,-1.889353,8,135.0,2.0,OK
246122,49.4,4.0,0.0,52.486225,-1.889362,8,135.0,2.0,OK
247148,49.4,4.0,0.0,52.486214,-1.889371,8,135.0,2.0,OK
248175,49.4,4.0,0.0,52.486202,-1.889380,8,135.0,2.0,OK
249200,49.4,4.0,0.0,52.486191,-1.889389,8,135.0,2.0,OK
250225,49.4,4.0,0.0,52.486179,-1.889398,8,135.0,2.0,OK
251251,49.4,4.0,0.0,52.486168,-1.889407,8,135.0,2.0,OK
252280,49.4,4.0,0.0,52.486156,-1.889416,8,135.0,2.0,OK
253305,49.4,4.0,0.0,52.486145,-1.889425,8,135.0,2.0,OK
254333,49.4,4.0,0.0,52.486134,-1.889434,8,135.0,2.0,OK
255358,49.4,4.0,0.0,52.486122,-1.889443,8,135.0,2.0,OK
256384,49.4,4.0,0.0,52.486111,-1.889452,8,135.0,2.0,OK
257411,49.4,4.0,0.0,52.486099,-1.889461,8,135.0,2.0,OK
258436,49.4,4.0,0.0,52.486088,-1.889470,8,135.0,2.0,OK
259461,49.4,4.0,0.0,52.486076,-1.889479,8,135.0,2.0,OK
260489,49.4,4.0,0.0,52.486065,-1.889488,8,110.2,2.0,OK
261520,49.4,4.0,0.0,52.486065,-1.889467,8,110.1,2.0,OK
262540,49.4,4.0,0.0,52.486065,-1.889446,8,110.3,2.0,OK
263568,49.4,4.0,0.0,52.486065,-1.889425,8,110.1,2.0,OK
264588,49.4,4.0,0.0,52.486065,-1.889404,8,110.3,2.0,OK
265609,49.4,4.0,0.0,52.486065,-1.889383,8,110.3,2.0,OK
266641,49.4,4.0,0.0,52.486065,-1.889362,8,110.3,2.0,OK
267669,49.4,4.0,0.0,52.486065,-1.889341,8,110.1,2.0,OK
268696,49.4,4.0,0.0,52.486065,-1.889320,8,110.1,2.0,OK
269717,49.4,4.0,0.0,52.486065,-1.889298,8,110.3,2.0,OK
270745,49.4,4.0,0.0,52.486065,-1.889278,8,110.1,2.0,OK
271768,49.4,4.0,0.0,52.486065,-1.889256,8,110.3,2.0,OK
272789,49.4,4.0,0.0,52.486065,-1.889235,8,110.3,2.0,OK
273816,49.4,4.0,0.0,52.486065,-1.889215,8,110.0,2.0,OK
274836,49.4,4.0,0.0,52.486065,-1.889193,8,110.3,2.0,OK
275854,49.4,4.0,0.0,52.486065,-1.889172,8,110.0,2.0,OK
276873,49.4,4.0,0.0,52.486065,-1.889152,8,110.3,2.0,OK
277893,49.4,4.0,0.0,52.486065,-1.889131,8,110.3,2.0,OK
278926,49.4,4.0,0.0,52.486065,-1.889109,8,110.3,2.0,OK
279946,49.4,4.0,0.0,52.486065,-1.889088,8,110.3,2.0,OK
280974,49.4,4.0,0.0,52.486065,-1.889067,8,46.0,2.0,OK
282000,49.4,4.0,0.0,52.486076,-1.889081,8,45.9,2.0,OK
283026,49.4,4.0,0.0,52.486088,-1.889094,8,45.9,2.0,OK
284051,49.4,4.0,0.0,52.486099,-1.889107,8,45.9,2.0,OK
285077,49.4,4.0,0.0,52.486111,-1.889120,8,45.7,2.0,OK
286102,49.4,4.0,0.0,52.486122,-1.889133,8,45.9,2.0,OK
287127,49.4,4.0,0.0,52.486134,-1.889147,8,45.6,2.0,OK
288153,49.4,4.0,0.0,52.486145,-1.889160,8,45.4,2.0,OK
289179,49.4,4.0,0.0,52.486156,-1.889173,8,45.6,2.0,OK
290206,49.4,4.0,0.0,52.486168,-1.889187,8,45.3,2.0,OK
291232,49.4,4.0,0.0,52.486179,-1.889201,8,45.0,2.0,OK
292256,49.4,4.0,0.0,52.486191,-1.889214,8,45.2,2.0,OK
293280,49.4,4.0,0.0,52.486202,-1.889228,8,45.0,2.0,OK
294306,49.4,4.0,0.0,52.486214,-1.889242,8,45.0,2.0,OK
295330,49.4,4.0,0.0,52.486221,-1.889256,8,45.0,2.0,OK
296354,49.4,4.0,0.0,52.486233,-1.889269,8,45.0,2.0,OK
297379,49.4,4.0,0.0,52.486244,-1.889284,8,45.0,2.0,OK
298404,49.4,4.0,0.0,52.486252,-1.889297,8,45.0,2.0,OK
299432,49.4,4.0,0.0,52.486263,-1.889311,8,45.0,2.0,OK
300460,49.4,4.0,0.0,52.486271,-1.889326,8,135.0,2.0,OK
301484,49.4,4.0,0.0,52.486259,-1.889335,8,135.0,2.0,OK
302509,49.4,4.0,0.0,52.486248,-1.889344,8,135.0,2.0,OK
303535,49.4,4.0,0.0,52.486237,-1.889353,8,135.0,2.0,OK
304559,49.4,4.0,0.0,52.486225,-1.889362,8,135.0,2.0,OK
305584,49.4,4.0,0.0,52.486214,-1.889371,8,135.0,2.0,OK
306611,49.4,4.0,0.0,52.486202,-1.889380,8,135.0,2.0,OK
307636,49.4,4.0,0.0,52.486191,-1.889389,8,135.0,2.0,OK
308664,49.4,4.0,0.0,52.486179,-1.889398,8,135.0,2.0,OK
309690,49.4,4.0,0.0,52.486168,-1.889407,8,135.0,2.0,OK
310715,49.4,4.0,0.0,52.486156,-1.889416,8,135.0,2.0,OK
311741,49.4,4.0,0.0,52.486145,-1.889425,8,135.0,2.0,OK
312768,49.4,4.0,0.0,52.486134,-1.889435,8,135.0,2.0,OK
313792,49.4,4.0,0.0,52.486122,-1.889443,8,135.0,2.0,OK
314818,49.4,4.0,0.0,52.486111,-1.889452,8,135.0,2.0,OK
315845,49.4,4.0,0.0,52.486099,-1.889462,8,135.0,2.0,OK
316870,49.4,4.0,0.0,52.486088,-1.889470,8,135.0,2.0,OK
317896,49.4,4.0,0.0,52.486076,-1.889479,8,135.0,2.0,OK
318926,49.4,4.0,0.0,52.486065,-1.889488,8,110.2,2.0,OK
319953,49.4,4.0,0.0,52.486065,-1.889467,8,110.1,2.0,OK
320973,49.4,4.0,0.0,52.486065,-1.889446,8,110.3,2.0,OK
322002,49.4,4.0,0.0,52.486065,-1.889425,8,110.1,2.0,OK
323022,49.4,4.0,0.0,52.486065,-1.889404,8,110.3,2.0,OK
324043,49.4,4.0,0.0,52.486065,-1.889383,8,110.3,2.0,OK
325064,49.4,4.0,0.0,52.486065,-1.889362,8,110.3,2.0,OK
326091,49.4,4.0,0.0,52.486065,-1.889341,8,110.1,2.0,OK
327118,49.4,4.0,0.0,52.486065,-1.889320,8,110.1,2.0,OK
328143,49.4,4.0,0.0,52.486065,-1.889299,8,110.3,2.0,OK
329171,49.4,4.0,0.0,52.486065,-1.889278,8,110.1,2.0,OK
330191,49.4,4.0,0.0,52.486065,-1.889257,8,110.3,2.0,OK
331212,49.4,4.0,0.0,52.486065,-1.889235,8,110.3,2.0,OK
332240,49.4,4.0,0.0,52.486065,-1.889215,8,110.0,2.0,OK
333260,49.4,4.0,0.0,52.486065,-1.889194,8,110.3,2.0,OK
334289,49.4,4.0,0.0,52.486065,-1.889172,8,110.0,2.0,OK
335309,49.4,4.0,0.0,52.486065,-1.889152,8,110.3,2.0,OK
336329,49.4,4.0,0.0,52.486065,-1.889131,8,110.3,2.0,OK
337352,49.4,4.0,0.0,52.486065,-1.889109,8,110.3,2.0,OK
338372,49.4,4.0,0.0,52.486065,-1.889089,8,110.3,2.0,OK
339397,49.4,4.0,0.0,52.486065,-1.889068,8,46.0,2.0,OK
340423,49.4,4.0,0.0,52.486076,-1.889081,8,46.0,2.0,OK
341449,49.4,4.0,0.0,52.486088,-1.889094,8,45.9,2.0,OK
342474,49.4,4.0,0.0,52.486099,-1.889107,8,45.9,2.0,OK
343500,49.4,4.0,0.0,52.486111,-1.889121,8,45.7,2.0,OK
344525,49.4,4.0,0.0,52.486122,-1.889134,8,45.9,2.0,OK
345550,49.4,4.0,0.0,52.486134,-1.889147,8,45.6,2.0,OK
346579,49.4,4.0,0.0,52.486145,-1.889161,8,45.4,2.0,OK
347604,49.4,4.0,0.0,52.486156,-1.889174,8,45.6,2.0,OK
348631,49.4,4.0,0.0,52.486168,-1.889187,8,45.2,2.0,OK
349656,49.4,4.0,0.0,52.486179,-1.889201,8,45.0,2.0,OK
350681,49.4,4.0,0.0,52.486191,-1.889215,8,45.4,2.0,OK
351705,49.4,4.0,0.0,52.486202,-1.889228,8,45.0,2.0,OK
352731,49.4,4.0,0.0,52.486214,-1.889242,8,45.0,2.0,OK
353756,49.4,4.0,0.0,52.486221,-1.889256,8,45.0,2.0,OK
354780,49.4,4.0,0.0,52.486233,-1.889269,8,45.0,2.0,OK
355808,49.4,4.0,0.0,52.486244,-1.889284,8,45.0,2.0,OK
