Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
30482,359.6,13.0,13.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
30918,2.8,7.0,4.2,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
31000,332.7,175.0,202.3,1.92,52.483947,-1.888887,5,0.72,68.82,48.54,180.0,180.0,OK
31148,241.2,327.0,85.8,6.72,52.48384,-1.890062,9,2.76,318.87,135.0,80.0,80.0,OK
31275,102.7,344.0,241.3,3.84,52.484336,-1.889973,8,4.06,59.31,100.7,148.0,148.0,OK
31518,359.6,13.0,13.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
31945,2.8,0.0,357.2,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
32030,332.7,175.0,202.3,1.92,52.483951,-1.88889,5,0.44,75.19,48.37,180.0,180.0,OK
32221,223.2,330.0,106.8,6.72,52.483844,-1.890062,9,0.0,35.96,135.0,122.0,122.0,OK
32321,121.9,339.0,217.1,3.84,52.48434,-1.88996,8,4.3,65.62,91.51,180.0,180.0,OK
32549,359.6,13.0,13.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
32972,2.9,0.0,357.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
33065,332.7,175.0,202.3,1.92,52.483955,-1.888892,5,0.22,50.51,48.15,180.0,180.0,OK
33254,203.8,0.0,156.2,6.72,52.483848,-1.890065,9,0.0,14.07,135.0,180.0,180.0,OK
33355,117.1,331.0,213.9,3.84,52.484344,-1.889943,8,4.69,84.14,94.4,180.0,180.0,OK
33582,359.6,13.0,13.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
34000,2.8,0.0,357.2,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
34096,332.7,175.0,202.3,1.92,52.483959,-1.888897,5,0.19,33.58,48.1,180.0,180.0,OK
34282,203.7,0.0,156.3,6.72,52.483852,-1.890072,9,1.8,345.69,135.0,180.0,180.0,OK
